airline,fatalities,model,days,year
AF,0,Amiot,252,1945
AF,2,Douglas,303,1945
AF,0,Amiot,313,1945
AF,0,Amiot,326,1945
AF,2,Amiot,12,1946
AF,0,Amiot,32,1946
AF,0,Amiot,34,1946
AF,2,Amiot,179,1946
AF,0,Amiot,219,1946
AF,22,Douglas,245,1946
AF,19,Douglas,246,1946
AF,15,Douglas,31,1947
AF,0,Amiot,63,1947
AF,23,Douglas,72,1947
AF,0,Amiot,78,1947
AF,0,Amiot,119,1947
AF,3,Amiot,154,1947
AF,0,Amiot,157,1947
AF,13,Amiot,181,1947
AF,0,Amiot,276,1947
AF,16,Douglas,5,1948
AF,1,Douglas,100,1948
AF,0,Douglas,193,1948
AF,52,Douglas,213,1948
AF,0,Douglas,292,1949
AF,48,Lockheed,300,1949
AF,5,Douglas,331,1949
AF,0,Douglas,21,1950
AF,0,Douglas,46,1950
AF,46,Douglas,162,1950
AF,40,Douglas,164,1950
AF,29,Douglas,33,1951
AF,5,Douglas,222,1951
AF,6,Amiot,1,1952
AF,0,Douglas,119,1952
AF,0,Amiot,339,1952
AF,4,Amiot,99,1953
AF,4,Lockheed,214,1953
AF,42,Lockheed,243,1953
AF,0,Lockheed,214,1954
AF,0,Lockheed,236,1954
AF,9,Douglas,76,1955
AF,0,Douglas,263,1955
AF,0,Douglas,23,1956
AF,3,Douglas,27,1956
AF,32,Douglas,97,1957
AF,0,Douglas,305,1957
AF,0,Lockheed,339,1957
AF,0,Douglas,7,1958
AF,0,Douglas,109,1958
AF,15,Douglas,150,1958
AF,0,Lockheed,357,1958
AF,0,Douglas,119,1959
AF,63,Lockheed,241,1960
AF,78,Lockheed,129,1961
AF,0,Boeing,207,1961
AF,130,Boeing,153,1962
AF,113,Boeing,172,1962
AF,5,Douglas,210,1962
AF,0,Douglas,268,1963
AF,63,Boeing,64,1968
AF,62,Boeing,336,1969
AF,0,Douglas,222,1973
AF,1,Boeing,290,1973
AF,3,Douglas,204,1974
AF,0,Boeing,162,1975
AF,0,Boeing,250,1976
AF,0,Airbus,75,1982
AF,0,Boeing,238,1983
AF,0,Boeing,17,1984
AF,0,Boeing,66,1984
AF,0,Boeing,212,1984
AF,0,Boeing,335,1985
AF,3,Airbus,177,1988
AF,0,Boeing,205,1988
AF,0,Airbus,234,1989
AF,0,Boeing,254,1993
AF,0,Airbus,343,1993
AF,0,Airbus,19,1994
AF,7,Airbus,359,1994
AF,0,Airbus,42,1999
AF,0,Airbus,60,1999
AF,0,Boeing,62,1999
AF,0,Boeing,63,1999
AF,109,Amiot,206,2000
AF,0,Amiot,57,2003
AF,0,Airbus,213,2005
AF,228,Airbus,151,2009
AF,0,Airbus,102,2011
AF,0,Airbus,179,1976
AF,0,Airbus,342,1977
EA,30,McDonnellDouglasDC-9-32,79,1972
EA,0,Ilyushin62,168,1972
EA,6,Boeing707-366C,340,1972
EA,37,Ilyushin18D,29,1973
EA,6,Tupolev154,191,1974
EA,0,Boeing737-266,236,1976
EA,52,Boeing707-366C,360,1976
EA,0,Boeing707-366C,290,1982
EA,60,Boeing737-266,328,1985
EA,5,AirbusA300B4-203,264,1987
EA,0,unknown,295,1993
EA,0,AirbusA320-231,87,1996
EA,0,Boeing707-366C,234,1996
EA,0,AirbusA320-231,132,1998
EA,0,Boeing737-566,292,1999
EA,217,Boeing767-366ER,304,1999
EA,0,AirbusA321-231,132,2000
EA,14,Boeing737-566,127,2002
EA,0,Boeing737,294,2009
EA,0,Boeing777-266ER,210,2011
IA,2,DouglasC-47A-65-DL(DC-3),321,1950
IA,0,ConvairCV-240-23,75,1952
IA,0,DouglasC-47A-80-DL(DC-3),75,1952
IA,0,DouglasDC-3D,130,1952
IA,0,DouglasC-47A-70-DL(DC-3),329,1954
IA,0,deHavillandDH-114Heron1B,344,1958
IA,1,DouglasC-47A-25-DK(DC-3),358,1959
IA,21,DouglasC-47A-80-DL(DC-3C),24,1961
IA,26,DouglasC-47A-20-DK(DC-3),34,1961
IA,7,ScottishAviationTwinPioneer1,263,1963
IA,17,DouglasC-47A-80-DL(DC-3),1,1966
IA,17,DouglasC-47A-25-DK(DC-3),1,1966
IA,22,LockheedL-188CElectra,47,1967
IA,29,ConvairCV-990-30A-5Coronado,149,1968
IA,3,FokkerF-27Friendship600,270,1972
IA,33,FokkerF-27Friendship600,311,1974
IA,25,FokkerF-28Fellowship1000,267,1975
IA,0,McDonnellDouglasDC-9,248,1977
IA,4,FokkerF-28Fellowship1000,65,1979
